"","ticker","year","GHG","n","X","Company_Year","Reduction_Sentences"
"187","APD",2011,7932934,13,NA,NA,NA
"188","APD",2012,7845432,13,NA,NA,NA
"189","APD",2013,8098553,13,NA,NA,NA
"190","APD",2014,8859206,13,NA,NA,NA
"191","APD",2015,12466575,13,NA,NA,NA
"192","APD",2016,12310104,13,NA,NA,NA
"193","APD",2017,12445640,13,NA,NA,NA
"194","APD",2018,12523837,13,NA,NA,NA
"195","APD",2019,12683849,13,NA,NA,NA
"196","APD",2020,11606326,13,NA,NA,NA
"197","APD",2021,12455743,13,NA,NA,NA
"198","APD",2022,13342140,13,NA,NA,NA
"199","ASH",2010,219844,13,NA,NA,NA
"200","ASH",2011,319366,13,NA,NA,NA
"201","ASH",2012,237247,13,NA,NA,NA
"202","ASH",2013,219170,13,NA,NA,NA
"203","ASH",2014,196392,13,NA,NA,NA
"204","ASH",2015,224843,13,NA,NA,NA
"205","ASH",2016,195590,13,NA,NA,NA
"206","ASH",2017,210892,13,NA,NA,NA
"207","ASH",2018,228583,13,NA,NA,NA
"208","ASH",2019,220769,13,NA,NA,NA
"209","ASH",2020,213049,13,NA,NA,NA
"210","ASH",2021,232288,13,NA,NA,NA
"211","ASH",2022,219664,13,NA,NA,NA
"212","ATI",2010,440505,13,NA,NA,NA
"213","ATI",2011,436989,13,NA,NA,NA
"214","ATI",2012,469393,13,NA,NA,NA
"215","ATI",2013,452517,13,NA,NA,NA
"216","ATI",2014,539205,13,NA,NA,NA
"217","ATI",2015,469047,13,NA,NA,NA
"218","ATI",2016,342455,13,NA,NA,NA
"219","ATI",2017,354371,13,NA,NA,NA
"220","ATI",2018,397203,13,NA,NA,NA
"221","ATI",2019,416004,13,NA,NA,NA
"222","ATI",2020,325869,13,NA,NA,NA
"223","ATI",2021,300870,13,NA,NA,NA
"224","ATI",2022,315910,13,NA,NA,NA
"225","ATO",2010,35045,13,NA,NA,NA
"226","ATO",2011,854045,13,NA,NA,NA
"227","ATO",2012,925620,13,NA,NA,NA
"228","ATO",2013,744518,13,NA,NA,NA
"229","ATO",2014,708303,13,NA,NA,NA
"230","ATO",2015,1137465,13,NA,NA,NA
"231","ATO",2016,1209362,13,NA,NA,NA
"232","ATO",2017,934676,13,NA,NA,NA
